一	云元示亍亏灭互至丐西酉两丽丙再二三亘五吾𤴓丂武世
丨	虫中干平丰圭由甲申果巾串用韦书聿疌甫肃责山出击北走
亅	求于隶事
丿	臼白自身血囟𠂤舟鸟乌卑鬼鼠阜
冖	农冘
㓁	罕
宀	宁宇穴它安定空宜宗学觉
勹	勺句勿匆旬匈包 
艹	苗
匚	区巨臣
丶	斗头州
灬	黑
彐	灵录母
𤣩	𡈼王玉
日	旦早易
乚	匕巴也弋戈戋㦮式毛电曳乜屯巳七心必
𠃌	习刁司刀刃召那力为办
目	且耳
其	甚
廿	甘
廾	开井升
虍火业非曹曲韭某弗革堇节览临到亚严
钅	金
𠂉	r乍午牛生朱先失矢乞每告缶𦈢
艮	即良民瓦氏氐长
𧘇	衣
木	本未末耒术束柬查米来
罒	罗
门	问向
冂	贝见月周冈内肉冉丹
几	凡殳朵
𠘨	风
口	只兄吊另吕员呙
田	禺里贯
丿	片𠂢寿系我禹么币乏丘乐
尸	户局居尺尽尼尾眉
厂	爪瓜斤斥反质原辰历
广	庄鹿
戊	戌戍成
爫	采爱
卯	卵
卩	卫
千	禾秀舌垂重
人	余今令含合仓介仑命个入夬臾大太犬夫天无旡夹夷央
𡗗	奏春
亻	隹
夭	乔
扌	手
𠃑	s专与
十	古支直真卉孛克
土	士志寺赤去吉夌
上	止占下卢攴叔卓贞卡步
丅	工正
丁	可哥寸才牙
𠂊	n夕久夂饣欠亇尔㣊夅鱼各冬名多刍争色免兔象危
丷	半总尚羊兰关弟券曾
八	公分父谷
儿	兆兀
小	𡭕水
廴	廷建
𠄎	乃及
纟	幺乡巛彡川
乂	义
又	叉圣
㐅	丈史吏更女
九	丸
癶	登
丆	y石百面页而夏豕不丕万歹死
𠂇	f友左右发尤龙车东
耂	者老考
乛	z乙了孑子皮蛋劲疋孟𠄘甬矛
𠃍	己已马丑敢镸
厶	允台夋参
辶	之
