的	白勺
了	乛亅
我	丿丶
是	日正
在	f土
你	亻尔
和	禾口
有	f月
不	f卜
就	京尤
也	乚
都	者阝
要	覀女
吧	口巴
好	女子
他	亻也
说	讠兑
去	土厶
到	至刂
没	氵殳
上	上
还	辶不
对	又寸
那	刀阝
人	人
个	人丨
看	手目
中	丨口
呢	口尼
来	一米
吗	口马
为	力丶
会	人云
她	女也
与	s
给	纟合
等	⺮寺
这	辶文
用	冂丨
把	扌巴
下	下
恩	因心
能	厶匕
很	彳艮
做	亻古
多	夕夕
想	心相
被	衤皮
点	占灬
而	丆冂
后	厂口
一	一
又	又
从	人人
再	一冉
将	丬夕
时	日寸
但	亻旦
过	辶寸
么	丿厶
打	扌丁
大	人
年	r丨
啦	口扌
地	土也
以	𠄌人
买	乛头
里	田土
让	讠上
小	亅八
着	丷目
先	牛儿
啊	口阿
或	戈口
呀	口牙
并	丷开
找	扌戈
新	亲斤
及	及
得	彳日
跟	足艮
于	一丁
太	大丶
嘛	口麻
号	口丂
日	日
才	才
发	发
可	丁口
比	匕匕
玩	王元
最	日取
们	亻门
月	月
吃	口乞
真	十具
它	宀匕
其	其
话	讠舌
请	讠青
钱	钅戋
叫	口丩
出	山山
开	开
哈	口合
当	丷彐
家	冖豕
向	m口
问	门口
之	之
更	乂
该	讠亥
走	土人
别	另刂
快	忄夬
前	丷月
由	由
高	亠冂
您	心你
加	力口
天	一大
所	户斤
却	去卩
已	z
谁	讠隹
写	冖与
内	冂人
啥	口舍
搞	扌高
老	耂匕
事	亅
只	口八
拿	合手
带	艹巾
如	女口
死	歹匕
行	彳亍
卖	十头
晕	日车
像	亻象
使	亻吏
刚	冈刂
成	戊𠃌
换	扌n
无	一人
嗯	口口
哪	口刀
回	口口
爱	丿又
听	口厂
少	丷
元	一儿
卡	上
靠	r非
帮	巾
算	⺮廾
者	耂日
忙	忄亠
起	走乛
各	攵口
分	八刀
学	宀子
总	丷心
心	心
子	子
手	丿
儿	儿
门	门
黑	黑
且	且
鱼	n一
力	力
亲	亠小
厂	厂
刀	刀
青	圭月
丁	丁
巴	巴
贝	冂人
目	目
虫	虫
丰	丨
戈	戈
旦	日一
巾	丨
匕	匕
豕	豕
则	贝刂
水	亅
改	乛攵
唉	口厶
张	弓长
三	一一
连	辶车
见	冂人
放	方攵
王	王
牛	牛
方	亠
马	乛s
雨	雨
木	木
土	土
骨	骨
弓	弓
车	车
万	万
全	人王
按	扌宀
区	匚乂
早	日十
拉	扌亠
偶	亻田
本	木
页	f人
进	辶井
性	忄生
弄	王h
第	⺮丨
完	宀元
同	冂口
系	丿小
花	艹化
怕	忄白
女	女
讲	讠h
杀	乂小
组	纟且
干	干
错	钅昔
井	井
昔	h日
些	二此
此	止匕
止	上
住	亻主
跑	足包
名	夕口
夕	夕
次	冫欠
睡	目千
网	冂乂
千	千
欠	n人
装	衣丬
衣	亠𧘇
挺	扌廴
掉	扌卓
图	口冬
正	一止
外	夕卜
路	足各
二	二
生	生
应	广一
广	广
冬	攵丶
卓	上十
卜	卜
头	丶人
因	口大
强	弓虽
作	亻乍
类	大米
送	辶关
每	r母
书	丨
乖	千北
法	氵去
拍	扌白
表	土𧘇
市	亠巾
撒	扌h
至	至
接	扌亠
美	丷人
未	未
办	力丶
非	非
哎	口艹
级	纟及
即	艮卩
米	米
关	丷天
乍	r丨
艮	艮
版	片反
副	一刂
差	丷工
俺	人大
收	h攵
男	口力
反	厂又
工	工
字	宀子
股	月几
几	几
考	耂s
两	一冂
转	车专
块	土人
线	纟戈
周	冂口
道	辶丷
黄	h八
便	亻更
聊	耳p
猪	犭者
八	八
耳	耳
取	耳又
哇	口圭
低	亻氏
氏	氏
难	又隹
哦	口我
阿	阝可
受	丿又
包	勹巳
喝	口日
白	丿日
金	人王
近	辶斤
斤	斤
近	辶斤
管	⺮b
四	口儿
定	宀𤴓
斤	斤
够	句多
交	亠乂
样	木丷
李	木子
笑	⺮夭
传	亻专
自	丿目
句	勹口
专	专
夭	丿大
慢	忄日
边	辶力
刷	尸刂
户	丶尸
尸	尸
型	土开
穿	宀牙
牙	一才
荣	艹木
著	艹者
遍	辶扁
影	日彡
越	走戊
戊	戊
位	亻立
贵	丨贝
长	长
部	立阝
亏	一丂
存	丆子
师	刂丨
立	亠一
据	扌尸
怪	忄又
处	攵丨
选	辶先
站	立占
山	山
另	口力
主	丶王
入	入
占	上口
片	片
店	广占
安	宀女
若	艹右
文	亠乂
式	戈工
国	口玉
血	丿皿
共	h八
龙	f匕
气	r乁
鸟	鸟
甘	甘
口	口
云	云
久	n乀
六	亠八
平	平
罗	罒夕
令	人乛
左	f工
色	n巴
火	人丶
南	南
吴	口天
局	尸口
华	十化
鬼	鬼
乐	c小
北	丬匕
肉	冂人
七	七
合	人口
石	f口
易	日勿
十	十
军	冖车
身	身
库	广车
商	亠冂
玉	王丶
章	立十
宝	宀玉
亦	亠h
业	业
丫	丫
含	今口
九	九
直	直
君	尹口
皮	皮
吾	五口
民	民
布	f巾
