的	白勺
了	乛亅
我	丿丶
是	日一
在	f土
你	亻尔
和	禾口
有	f月
不	一丶
就	京尤
也	乛乚
都	者阝
要	覀女
吧	口巴
好	女子
他	亻也
说	讠兑
去	土厶
到	至刂
没	氵殳
上	丨一
还	辶不
对	又寸
那	刀阝
人	丿乀
个	人丨
看	手目
中	口丨
呢	口尼
来	一米
吗	口马
为	力丶
会	人云
她	女也
与	一s
给	纟合
等	⺮寺
这	辶文
用	冂丨
把	扌巴
下	丅丶
恩	因心
能	厶匕
很	彳艮
做	亻故
多	夕夕
想	心相
被	衤皮
点	占灬
而	丆冂
后	p口
一	一
又	乛乀
从	人人
再	一冉
将	丬夕
时	日寸
但	亻旦
过	辶寸
么	丿厶
打	扌丁
大	一人
年	r丨
啦	口扌
地	土也
以	𠄌人
买	乛头
里	田土
让	讠上
小	亅八
着	羊目
先	牛儿
啊	口阿
或	戈一
呀	口牙
并	丷开
找	扌戈
新	亲斤
及	乃乀
得	彳日
跟	足艮
于	一丁
太	大丶
嘛	口麻
号	口丂
日	口一
才	丁丿
发	f又
可	丁口
比	匕匕
玩	王元
最	日取
们	亻门
月	冂二
吃	口乞
真	直八
它	宀匕
其	h八
话	讠舌
请	讠青
钱	钅戋
叫	口丩
出	山山
开	一廾
哈	口合
当	v彐
家	宀豕
向	m口
问	门口
之	丶乛
更	一乂
该	讠亥
走	土人
别	另刂
快	忄夬
前	丷月
由	日丨
高	亠口
您	心你
加	力口
天	一大
所	a斤
却	去卩
已	乛乚
谁	讠隹
写	冖与
内	冂人
啥	口舍
搞	扌高
老	耂匕
事	一亅
只	口八
拿	合手
带	艹巾
如	女口
死	一夕
行	彳亍
卖	十头
晕	日车
像	亻象
使	亻吏
刚	冈刂
成	戊𠃌
换	扌n
无	一人
嗯	口口
哪	口刀
回	口口
爱	爫友
听	口斤
少	小丿
元	一儿
卡	上下
靠	告非
帮	巾邦
算	⺮廾
者	耂日
忙	忄亠
起	走乛
各	夂口
分	八刀
学	w子
总	丷心
心	丶丶
子	了一
手	丿丁
儿	丿乚
门	丶冂
黑	口灬
且	目一
鱼	n一
力	𠃌丿
亲	立朩
厂	一丿
刀	𠃌丿
青	圭月
丁	一亅
巴	乛乚
贝	冂人
目	口二
虫	中丶
丰	三丨
戈	弋丿
旦	日一
巾	冂丨
匕	乚丿
豕	一乀
则	贝刂
水	亅乛
改	己攵
唉	口厶
张	弓长
三	一一
连	辶车
见	冂人
放	方攵
王	干一
牛	r十
方	亠𠃌
马	乛一
雨	雨丶
木	十八
土	十一
骨	冂月
弓	乛s
车	七十
万	丆𠃌
全	人王
按	扌安
区	匚乂
早	日十
拉	扌亠
偶	亻田
本	木一
页	丆贝
进	辶井
性	忄生
弄	王廾
第	⺮丨
完	宀元
同	冂口
系	丿糸
花	艹化
怕	忄白
女	乂一
讲	讠井
杀	乂朩
组	纟且
干	一十
错	钅昔
井	一廾
昔	h日
些	二此
此	止匕
止	丨一
住	亻主
跑	足包
名	夕口
夕	n丶
次	冫欠
睡	目千
网	冂乂
千	丿十
欠	n人
装	衣丬
衣	亠𧘇
挺	扌廷
掉	扌卓
图	口冬
正	丅一
外	夕卜
路	足各
二	一一
生	r土
应	广一
广	丶厂
冬	夂丶
卓	上十
卜	丨丶
头	丶人
因	口大
强	弓虽
作	亻乍
类	米大
送	辶关
每	r母
书	乛丶
乖	千北
法	氵去
拍	扌白
表	土𧘇
市	亠巾
撒	扌h
至	q土
接	扌亠
美	丷人
未	一木
办	力八
非	一一
哎	口艹
级	纟及
即	艮卩
米	丷木
关	丷天
乍	r丨
艮	日k
版	片反
副	一刂
差	丷工
俺	人大
收	丩攵
男	田力
反	p又
工	丅一
字	宀子
股	月殳
几	丿乁
考	耂s
两	一冂
转	车专
块	土人
线	纟戋
周	冂吉
道	辶首
黄	h八
便	亻更
聊	耳c
猪	犭者
八	丿乀
耳	耳
取	耳又
哇	口圭
低	亻氏
氏	氏
难	又隹
哦	口我
阿	阝可
受	爫又
包	勹巳
喝	口日
白	a日
金	人王
近	辶斤
斤	p丅
近	辶斤
管	⺮官
四	口儿
定	宀𤴓
够	句多
交	亠父
样	木羊
李	木子
笑	⺮夭
传	亻专
自	a目
句	勹口
专	二s
夭	丿大
慢	忄日
边	辶力
刷	尸刂
户	丶尸
尸	口丿
型	土开
穿	穴牙
牙	一才
荣	艹木
著	艹者
遍	辶扁
影	日彡
越	走戊
戊	厂丶
位	亻立
贵	丨贝
长	丿乀
部	立阝
亏	一丂
存	丆子
师	丨帀
立	亠一
据	扌尸
怪	忄又
处	夂卜
选	辶先
站	立占
山	丨凵
另	口力
主	丶王
入	丿乀
占	上口
片	丿乛
店	广占
安	宀女
若	艹右
文	亠乂
式	戈工
国	口玉
血	a皿
共	h八
龙	f丶
气	r乁
鸟	a一
甘	一一
口	丨一
云	二厶
久	n乀
六	亠八
平	一十
罗	罒夕
令	人乛
左	f工
色	n巴
火	丶丶
南	十冂
吴	口天
局	尸口
华	十化
鬼	白厶
